BioWare Version 5.3.2.9 Export
Device:	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	mobile1 9286BA	mobile1 9286BA	mobile1 9286BA	mobile1 9286BA
Samples (#):	26204	26204	26204	26204	26204	26204	26204	26204
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0	0	0	0	0
Contact period end (sample #):	23851	23851	23851	23851	24593	24593	24593	24593
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	23.851000	23.851000	23.851000	23.851000	24.593000	24.593000	24.593000	24.593000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Jan 01, 1980  03:02:40
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	|Ft|	Fx	Fy	Fz	|Ft|
	N	N	N	N	N	N	N	N
0.148000	-58.544996	-28.181986	393.071831	398.405830	-57.990839	-5.536406	509.680428	512.998760
0.149000	-58.853060	-28.258451	393.929710	399.302942	-58.144348	-4.456877	509.336418	512.663843
0.150000	-58.775919	-28.950188	393.249741	398.670391	-57.684746	-4.302748	510.357849	513.625523
0.151000	-58.391718	-29.257592	393.760941	399.140674	-57.684130	-4.148307	511.039810	514.301813
0.152000	-58.853060	-29.872248	394.444603	399.928217	-57.684746	-4.765136	508.996574	512.277024
0.153000	-58.544996	-29.642236	393.424126	398.859275	-57.838564	-4.148307	509.671349	512.959444
0.154000	-58.624151	-30.333509	394.616913	400.099264	-57.683823	-4.456722	509.678909	512.952119
0.155000	-58.316088	-30.410748	393.941986	399.394377	-57.837639	-3.840049	509.678146	512.963694
0.156000	-58.085665	-30.487832	393.768257	399.195306	-58.144966	-3.993867	513.071686	516.371323
0.157000	-58.084658	-30.487522	393.770813	399.197657	-58.757769	-3.531791	512.393127	515.763188
0.158000	-57.931379	-30.717998	393.941513	399.361435	-57.838564	-3.223221	511.372459	514.643062
0.159000	-58.162304	-30.948784	394.115341	399.584263	-57.224527	-3.068936	511.717224	514.916093
0.160000	-57.855747	-31.563438	394.284027	399.754215	-57.991457	-3.223221	512.052917	515.336384
0.161000	-58.086672	-31.486510	392.751396	398.270161	-58.604568	-3.531479	512.053284	515.408122
0.162000	-57.933395	-31.563593	394.461548	399.940560	-58.144348	-2.914651	512.393112	515.689792
0.163000	-57.549192	-31.716832	393.774834	399.219847	-58.451059	-3.068936	513.750595	517.074094
0.164000	-57.625832	-31.563283	394.115898	399.555151	-58.451675	-2.760365	510.354424	513.698215
0.165000	-57.550200	-31.717140	394.460503	399.896350	-57.378036	-3.223377	511.375862	514.594891
0.166000	-57.473060	-31.717140	394.118477	399.547874	-57.837639	-2.760365	510.691254	513.963392
0.167000	-57.858265	-31.717296	395.482880	400.949216	-58.297550	-2.760678	512.388969	515.702125
0.168000	-57.857763	-31.563438	394.125610	399.598258	-58.144348	-1.835435	511.377769	514.675973
0.169000	-57.472052	-31.947772	394.120468	399.568067	-57.531237	-2.606236	510.684433	513.921420
0.170000	-57.627341	-31.794068	395.996742	401.428939	-57.837639	-2.143693	510.351028	513.622391
0.171000	-58.089695	-32.024547	395.313721	400.840270	-58.451366	-3.223221	509.669456	513.020376
0.172000	-57.474064	-32.178404	396.164467	401.603041	-57.683823	-2.451952	508.993546	512.257616
0.173000	-57.628855	-31.870533	395.657845	401.100917	-57.531855	-2.760210	509.338715	512.585075
0.174000	-57.627341	-31.794068	395.656242	401.093051	-58.451059	-1.835279	509.665298	513.009367
0.175000	-57.628855	-32.101475	396.680244	402.127848	-57.991457	-1.527020	507.638351	510.942303
0.176000	-57.628855	-31.947462	397.873016	403.292279	-57.530930	-1.989564	508.986382	512.231298
